Patient,endothelial,epithelial,fibroblast,immune,stromal
00-13520-8C,0.01857512344227604,0.5102280743004938,0.11568304726075711,0.10204561486009875,0.2534681401363743
00-18339-2E,0.003986332574031891,0.8906605922551253,0.029612756264236904,0.014806378132118452,0.06093394077448747
00-25691-4E,0.015174278846153846,0.6547475961538461,0.1953125,0.013521634615384616,0.12124399038461539
00-8939-2D,0.014270032930845226,0.7703622392974753,0.03402854006586169,0.0015367727771679472,0.17980241492864985
01-16333-3D,0.07526881720430108,0.07252090800477898,0.1996415770609319,0.4019115890083632,0.25065710872162483
01-20792-3H,0.023676880222841225,0.2520891364902507,0.26973073351903437,0.17595171773444754,0.2785515320334262
01-22975-1E,0.03314184710561202,0.32965090587715423,0.18471056120194432,0.17322138753866548,0.27927529827662395
01-24001-1O,0.014069644741470278,0.7615195216320788,0.1494899753781217,0.008793527963418923,0.0661273302849103
01-5730-4A,0.007051762940735184,0.759939984996249,0.19714928732183046,0.026856714178544638,0.00900225056264066
02-5218-4K,0.0059742647058823525,0.5528492647058824,0.11029411764705882,0.014246323529411764,0.3166360294117647
02-7281-5E,0.029850746268656716,0.572139303482587,0.19402985074626866,0.05804311774461028,0.14593698175787728
02-9184-3G,0.02233312538989395,0.18827199001871492,0.150093574547723,0.29981285090455395,0.3394884591391142
03-12457-2O,0.01468189233278956,0.233278955954323,0.5073409461663948,0.0016313213703099511,0.24306688417618272
03-16197-1F,0.003424657534246575,0.9753424657534246,0.0027397260273972603,0.0006849315068493151,0.01780821917808219
03-2396-3C,0.016410614525139665,0.8044692737430168,0.07960893854748603,0.01606145251396648,0.08344972067039107
03-7604-1P,0.016270337922403004,0.056320400500625784,0.07634543178973717,0.011889862327909888,0.8391739674593242
05-15168-7B,0.02011313639220616,0.7806411062225016,0.09050911376492772,0.0785669390320553,0.03016970458830924
1,0.002881844380403458,0.5336215177713737,0.2689721421709894,0.001440922190201729,0.1930835734870317
