Patient,endothelial,epithelial,fibroblast,immune,stromal
00-13520-8C,0.016223841993886667,0.5487890900540795,0.14554432165530215,0.14671996237949683,0.1427227839172349
00-18339-2E,0.002562642369020501,0.8809794988610479,0.04612756264236902,0.03388382687927107,0.03644646924829157
00-25691-4E,0.012469951923076924,0.6362680288461539,0.23662860576923078,0.052884615384615384,0.06174879807692308
00-8939-2D,0.012733260153677277,0.7802414928649836,0.07903402854006586,0.01163556531284303,0.1163556531284303
01-16333-3D,0.057825567502986855,0.11039426523297491,0.17825567502986858,0.5817204301075268,0.07180406212664277
01-20792-3H,0.019498607242339833,0.21541318477251625,0.3333333333333333,0.34447539461467036,0.0872794800371402
01-22975-1E,0.02342023862129916,0.3181617322138754,0.18692001767565178,0.3309765797613787,0.14052143172779497
01-24001-1O,0.010552233556102708,0.8107632782272247,0.1340133661625044,0.02743580724586704,0.01723531480830109
01-5730-4A,0.00450112528132033,0.6021005251312829,0.33083270817704424,0.051762940735183796,0.010802700675168793
02-5218-4K,0.004595588235294118,0.3961397058823529,0.2991727941176471,0.05284926470588235,0.24724264705882354
02-7281-5E,0.024875621890547265,0.5339966832504146,0.19900497512437812,0.10945273631840796,0.13266998341625208
02-9184-3G,0.017092950717404867,0.17080474111041796,0.12688708671241422,0.5912663755458515,0.09394884591391142
03-12457-2O,0.013050570962479609,0.33115823817292006,0.5187601957585645,0.011419249592169658,0.12561174551386622
03-16197-1F,0.0027397260273972603,0.9671232876712329,0.010958904109589041,0.0027397260273972603,0.01643835616438356
03-2396-3C,0.011871508379888268,0.6986731843575419,0.14385474860335196,0.043645251396648044,0.10195530726256984
03-7604-1P,0.01376720901126408,0.5982478097622027,0.1276595744680851,0.03128911138923655,0.22903629536921152
05-15168-7B,0.01571338780641106,0.792583280955374,0.09302325581395349,0.09050911376492772,0.008170961659333752
1,0.005763688760806916,0.7430355427473583,0.2377521613832853,0.010086455331412104,0.0033621517771373678
10,0.012779552715654952,0.6586794462193823,0.2321618743343983,0.01650692225772098,0.07987220447284345
100,0.0034590107229332413,0.5451400899342788,0.1321342096160498,0.13420961604980974,0.1850570736769284
101,0.003670337003670337,0.8742075408742075,0.026359693026359692,0.009676343009676344,0.08608608608608609
103,0.011670020120724347,0.5046277665995976,0.469215291750503,0.004024144869215292,0.010462776659959759
104,0.14673913043478262,0.01358695652173913,0.6168478260869565,0.06793478260869565,0.15489130434782608
106,0.007399577167019027,0.26691331923890066,0.2891120507399577,0.03805496828752643,0.3985200845665962
107,0.0496705524581855,0.13583375570197667,0.15661429295489102,0.5894576786619361,0.06842372022301065
108,0.026217228464419477,0.7172284644194756,0.19826779026217228,0.04845505617977528,0.009831460674157303
109,0.004381161007667032,0.35870755750273825,0.4895947426067908,0.008214676889375685,0.13910186199342825
11,0.03386275097392868,0.6035361102786935,0.028169014084507043,0.18040155828588553,0.1540305663769853
110,0.1056422569027611,0.17286914765906364,0.5102040816326531,0.148859543817527,0.062424969987995196
112,0.00619933237958989,0.6304244158321411,0.13924654268001907,0.043872198378636144,0.18025751072961374
113,0.0029207740051113546,0.41511500547645125,0.10514786418400876,0.08178167214311792,0.3950346841913107
114,0.021847974510696404,0.8233955393718707,0.06873008648156577,0.007737824305871643,0.07828857532999545
115,0.162095531587057,0.4795069337442219,0.24191063174114022,0.050539291217257316,0.06594761171032358
116,0.10530546623794212,0.3229903536977492,0.28006430868167204,0.2570739549839228,0.03456591639871383
117,0.010587612493382742,0.8755955532027527,0.014822657490735839,0.012440444679724723,0.08655373213340392
118,0.039755351681957186,0.6785168195718655,0.24197247706422018,0.007262996941896025,0.03249235474006116
119,0.006535947712418301,0.3292483660130719,0.19852941176470587,0.011437908496732025,0.4542483660130719
12,0.03672316384180791,0.1553672316384181,0.3855932203389831,0.3418079096045198,0.08050847457627118
120,0.009024064171122994,0.4839572192513369,0.12934491978609625,0.013368983957219251,0.3643048128342246
121,0.013103037522334724,0.24776652769505658,0.1620011911852293,0.05896366885050625,0.5181655747468732
122,0.026073004412354592,0.5595667870036101,0.3638186923385479,0.0012033694344163659,0.049338146811071
123,0.0353356890459364,0.0812720848056537,0.5830388692579506,0.045936395759717315,0.254416961130742
124,0.005988023952095809,0.017964071856287425,0.2634730538922156,,0.7125748502994012
125,0.03258508327299059,0.46053584359160027,0.40333091962346124,0.026792179580014484,0.07675597393193338
127,0.01903553299492386,0.9147631133671743,0.02030456852791878,0.0014805414551607445,0.044416243654822336
13,0.01892346509671993,0.5832632464255677,0.30950378469301937,0.001261564339781329,0.0870479394449117
130,,0.39359267734553777,0.24542334096109839,0.006864988558352402,0.35411899313501144
131,0.06921241050119331,0.6165473349244233,0.2903739061256961,0.007159904534606206,0.016706443914081145
