Patient,20,21,CD20 B cell,CD209+ imm.,CD3 T cell,CD4 T cell,CD44+ str.,CD8 T cell,ColI+ FB,Dendritic cell,FB,FN+ FB,FoxP3 Treg,Macrophage,NK cell,Neutrophil,Pericyte SMA+FB,Quies. str.,Vim+ FB,endothelial
00-13520-8C,,,0.004689942678478374,,,0.18968212610734758,0.0020844189682126106,0.11255862428348098,0.005732152162584679,,0.028139656070870246,,,0.018238665971860343,,,,0.3163105784262637,0.28660760812923397,0.03595622720166754
00-18339-2E,,,0.0,,,0.16507177033492823,0.0,0.08851674641148326,0.007177033492822967,,0.0645933014354067,,,0.03110047846889952,,,,0.3062200956937799,0.3157894736842105,0.0215311004784689
00-25691-4E,,,0.0,,,0.08013217678645188,0.040479140850888065,0.0322180916976456,0.01486988847583643,,0.28831061544816194,,,0.033044196612969846,,,,0.1697645600991326,0.30689797604295743,0.034283353985956215
00-8939-2D,,,0.0,,,0.02197802197802198,0.01098901098901099,0.002997002997002997,0.011988011988011988,,0.04595404595404595,,,0.027972027972027972,,,,0.5294705294705294,0.2907092907092907,0.057942057942057944
01-16333-3D,,,0.0017459038409884501,,,0.21837228041901693,0.0408272898200376,0.282433521353747,0.00026860059092130003,,0.044453397797475154,,,0.15135643298415258,,,,0.08071447757185066,0.11482675261885576,0.06500134300295461
01-20792-3H,,,0.000591715976331361,,,0.22958579881656804,0.027218934911242602,0.06568047337278106,0.000591715976331361,,0.01242603550295858,,,0.14319526627218934,,,,0.11124260355029586,0.38461538461538464,0.02485207100591716
01-22975-1E,,,0.009073233959818535,,,0.32274789371354506,0.011665586519766688,0.09591704471808166,0.023331173039533377,,0.0965651328580687,,,0.057679844458846406,,,,0.20609202851587816,0.1425793907971484,0.034348671419313026
01-24001-1O,,,0.0,,,0.04275092936802974,0.01486988847583643,0.05018587360594796,0.00929368029739777,,0.06691449814126393,,,0.05204460966542751,,,,0.09107806691449814,0.6171003717472119,0.055762081784386616
01-5730-4A,,,0.0,,,0.02262443438914027,0.0011312217194570137,0.0746606334841629,0.0444947209653092,,0.16025641025641027,,,0.032805429864253395,,,,0.027149321266968326,0.6255656108597285,0.011312217194570135
02-5218-4K,,,0.0,,,0.03272450532724505,0.0,0.0167427701674277,0.0,,0.0,,,0.0380517503805175,,,,0.4094368340943683,0.4954337899543379,0.0076103500761035
02-7281-5E,,,0.0,,,0.2206405693950178,0.0,0.0035587188612099642,0.0035587188612099642,,0.0498220640569395,,,0.010676156583629894,,,,0.2846975088967972,0.3736654804270463,0.05338078291814947
02-9184-3G,,,0.00255792958170328,,,0.43560036111947037,0.006470057177249473,0.045741799578693954,0.0,,0.004363526933493831,,,0.2291603972314174,,,,0.11330123382485706,0.14219079145350585,0.020613903099608786
03-12457-2O,,,0.0,,,0.004878048780487805,0.02195121951219512,0.0024390243902439024,0.0,,0.40487804878048783,,,0.00975609756097561,,,,0.1878048780487805,0.348780487804878,0.01951219512195122
03-16197-1F,,,0.0,,,0.020833333333333332,0.020833333333333332,0.0625,0.0,,0.0,,,0.0,,,,0.5,0.3125,0.08333333333333333
03-2396-3C,,,0.0,,,0.04866743916570104,0.002317497103128621,0.04982618771726535,0.0011587485515643105,,0.01738122827346466,,,0.046349942062572425,,,,0.3383545770567787,0.45654692931633833,0.039397450753186555
03-7604-1P,,,0.0,,,0.024922118380062305,0.006230529595015576,0.012461059190031152,0.0,,0.003115264797507788,,,0.040498442367601244,,,,0.5700934579439252,0.308411214953271,0.03426791277258567
05-15168-7B,,,0.0,,,0.3424242424242424,0.006060606060606061,0.07272727272727272,0.03333333333333333,,0.048484848484848485,,,0.021212121212121213,,,,0.03939393939393939,0.3606060606060606,0.07575757575757576
1,0.001869158878504673,,0.001869158878504673,,0.029906542056074768,,,,,,,0.8037383177570093,,0.007476635514018692,,,0.03364485981308411,0.013084112149532711,0.08598130841121496,0.022429906542056073
10,0.0,,0.0046801872074883,,0.0187207488299532,,,,,,,0.46801872074882994,,0.0249609984399376,,,0.0015600624024961,0.23400936037441497,0.21060842433697347,0.0374414976599064
100,0.0,,0.02053231939163498,,0.02053231939163498,,,,,,,0.08288973384030418,,0.2539923954372624,,,0.018250950570342206,0.4068441064638783,0.18935361216730037,0.0076045627376425855
101,0.0,,0.005305039787798408,,0.010610079575596816,,,,,,,0.11671087533156499,,0.0610079575596817,,,0.026525198938992044,0.6843501326259946,0.06631299734748011,0.029177718832891247
103,0.0,,0.0016246953696181965,,0.003249390739236393,,,,,,,0.8740861088545898,,0.003249390739236393,,,0.01462225832656377,0.021121039805036556,0.05848903330625508,0.023558082859463852
