,celltype,AUC
1_CD20 B cell_Isolated,CD20 B cell_Isolated,0.1951498006566604
100_CD20 B cell_Isolated,CD20 B cell_Isolated,0.4073287607000843
107_CD20 B cell_Isolated,CD20 B cell_Isolated,0.0761196978724652
108_CD20 B cell_Isolated,CD20 B cell_Isolated,0.21736701625094482
11_CD20 B cell_Isolated,CD20 B cell_Isolated,0.4522288944886348
115_CD20 B cell_Isolated,CD20 B cell_Isolated,0.20754575001501233
116_CD20 B cell_Isolated,CD20 B cell_Isolated,0.28929246200699227
12_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3088743404094281
121_CD20 B cell_Isolated,CD20 B cell_Isolated,0.5222222222222223
125_CD20 B cell_Isolated,CD20 B cell_Isolated,0.29203869047619047
133_CD20 B cell_Isolated,CD20 B cell_Isolated,0.10291326882552368
134_CD20 B cell_Isolated,CD20 B cell_Isolated,0.31421957943013273
136_CD20 B cell_Isolated,CD20 B cell_Isolated,0.46600258693872676
137_CD20 B cell_Isolated,CD20 B cell_Isolated,0.34608057050641183
144_CD20 B cell_Isolated,CD20 B cell_Isolated,0.49331740174414546
145_CD20 B cell_Isolated,CD20 B cell_Isolated,0.4025397603485839
148_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3758287372542367
151_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3222021497021497
155_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3672362851573378
159_CD20 B cell_Isolated,CD20 B cell_Isolated,0.1530537381065383
168_CD20 B cell_Isolated,CD20 B cell_Isolated,0.20876449793203994
178_CD20 B cell_Isolated,CD20 B cell_Isolated,0.07479928017718715
179_CD20 B cell_Isolated,CD20 B cell_Isolated,0.30445932864438874
184_CD20 B cell_Isolated,CD20 B cell_Isolated,0.5317124701425803
186_CD20 B cell_Isolated,CD20 B cell_Isolated,0.48699978719332815
192_CD20 B cell_Isolated,CD20 B cell_Isolated,
193_CD20 B cell_Isolated,CD20 B cell_Isolated,0.23188311260679684
198_CD20 B cell_Isolated,CD20 B cell_Isolated,0.6004191321499014
2_CD20 B cell_Isolated,CD20 B cell_Isolated,0.12399433383938592
21_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3138259078884079
217_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3043752923655189
222_CD20 B cell_Isolated,CD20 B cell_Isolated,0.19300868842907534
224_CD20 B cell_Isolated,CD20 B cell_Isolated,0.39898053580406523
227_CD20 B cell_Isolated,CD20 B cell_Isolated,0.2506612408612823
245_CD20 B cell_Isolated,CD20 B cell_Isolated,0.1817465592285249
259_CD20 B cell_Isolated,CD20 B cell_Isolated,0.20754368381640215
276_CD20 B cell_Isolated,CD20 B cell_Isolated,0.2891552387104713
33_CD20 B cell_Isolated,CD20 B cell_Isolated,0.37676879517787354
40_CD20 B cell_Isolated,CD20 B cell_Isolated,0.390625
43_CD20 B cell_Isolated,CD20 B cell_Isolated,0.4120129756438614
46_CD20 B cell_Isolated,CD20 B cell_Isolated,0.21481065759637188
56_CD20 B cell_Isolated,CD20 B cell_Isolated,0.16979092769370546
57_CD20 B cell_Isolated,CD20 B cell_Isolated,
58_CD20 B cell_Isolated,CD20 B cell_Isolated,0.33998427576762646
64_CD20 B cell_Isolated,CD20 B cell_Isolated,0.5434224966210259
67_CD20 B cell_Isolated,CD20 B cell_Isolated,0.4595155423280423
70_CD20 B cell_Isolated,CD20 B cell_Isolated,0.39364528218694883
73_CD20 B cell_Isolated,CD20 B cell_Isolated,0.2110349818580357
77_CD20 B cell_Isolated,CD20 B cell_Isolated,0.4615162037037037
82_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3888624338624338
83_CD20 B cell_Isolated,CD20 B cell_Isolated,0.3404561188459555
84_CD20 B cell_Isolated,CD20 B cell_Isolated,0.5967916617916618
90-13787-A_CD20 B cell_Isolated,CD20 B cell_Isolated,0.008013284669877104
92-10570-2E_CD20 B cell_Isolated,CD20 B cell_Isolated,0.006703170597611695
92-16604-B_CD20 B cell_Isolated,CD20 B cell_Isolated,0.01893150439896302
92-20731-A_CD20 B cell_Isolated,CD20 B cell_Isolated,0.06225789055885732
92-28299-1B_CD20 B cell_Isolated,CD20 B cell_Isolated,0.036548653307889756
93-15874-A_CD20 B cell_Isolated,CD20 B cell_Isolated,0.011138771508265342
96-14307-G_CD20 B cell_Isolated,CD20 B cell_Isolated,0.05636277458661439
97-15244-1H_CD20 B cell_Isolated,CD20 B cell_Isolated,0.012054696135605348
98-9915-4O/N_CD20 B cell_Isolated,CD20 B cell_Isolated,0.05034382764244885
99-3530-2D_CD20 B cell_Isolated,CD20 B cell_Isolated,0.06198707107764297
JP-TMA2-1_scene03_CD20 B cell_Isolated,CD20 B cell_Isolated,0.004342883219749813
JP-TMA2-1_scene07_CD20 B cell_Isolated,CD20 B cell_Isolated,0.014367480034130497
JP-TMA2-1_scene11_CD20 B cell_Isolated,CD20 B cell_Isolated,0.005009143568340809
JP-TMA2-1_scene15_CD20 B cell_Isolated,CD20 B cell_Isolated,0.2904894720535929
