,celltype,FD
00-13520-8C_CD3 T cell_All,CD3 T cell,0.061334610677393986
00-18339-2E_CD3 T cell_All,CD3 T cell,0.10965371276318381
00-25691-4E_CD3 T cell_All,CD3 T cell,0.08434239653665809
00-8939-2D_CD3 T cell_All,CD3 T cell,0.0524880026965282
01-16333-3D_CD3 T cell_All,CD3 T cell,0.06422249186652884
01-20792-3H_CD3 T cell_All,CD3 T cell,0.09244712531009469
01-22975-1E_CD3 T cell_All,CD3 T cell,0.2742439691063452
01-24001-1O_CD3 T cell_All,CD3 T cell,0.1148915082649884
01-5730-4A_CD3 T cell_All,CD3 T cell,0.07884163106696418
02-5218-4K_CD3 T cell_All,CD3 T cell,0.1949210844725635
02-9184-3G_CD3 T cell_All,CD3 T cell,0.0852584462305841
05-15168-7B_CD3 T cell_All,CD3 T cell,0.4022128510143821
1_CD3 T cell_All,CD3 T cell,-0.5307440204530334
100_CD3 T cell_All,CD3 T cell,0.5681576808170634
106_CD3 T cell_All,CD3 T cell,0.24871354428579417
107_CD3 T cell_All,CD3 T cell,0.33959304300618776
11_CD3 T cell_All,CD3 T cell,0.5108455214292373
110_CD3 T cell_All,CD3 T cell,0.1585586553411198
115_CD3 T cell_All,CD3 T cell,0.40665793328973665
116_CD3 T cell_All,CD3 T cell,0.3129839680450406
133_CD3 T cell_All,CD3 T cell,0.20609905003945617
134_CD3 T cell_All,CD3 T cell,0.14028083323208174
136_CD3 T cell_All,CD3 T cell,0.22352666353288297
137_CD3 T cell_All,CD3 T cell,0.22956248444499172
14_CD3 T cell_All,CD3 T cell,0.283178489935497
144_CD3 T cell_All,CD3 T cell,0.1979499745421207
145_CD3 T cell_All,CD3 T cell,0.4477987851796339
148_CD3 T cell_All,CD3 T cell,0.3969058219893644
15_CD3 T cell_All,CD3 T cell,0.3576396715602632
151_CD3 T cell_All,CD3 T cell,0.3442389253263465
155_CD3 T cell_All,CD3 T cell,0.3060735107750241
159_CD3 T cell_All,CD3 T cell,-1.4583165298792586
163_CD3 T cell_All,CD3 T cell,
168_CD3 T cell_All,CD3 T cell,-0.0063104238351816555
179_CD3 T cell_All,CD3 T cell,0.3204026025996649
180_CD3 T cell_All,CD3 T cell,0.26384854903315746
183_CD3 T cell_All,CD3 T cell,-1.1506823416963012
184_CD3 T cell_All,CD3 T cell,0.503564075630027
186_CD3 T cell_All,CD3 T cell,0.38898075409357835
190_CD3 T cell_All,CD3 T cell,-0.05798922698275555
191_CD3 T cell_All,CD3 T cell,0.46951971758650624
193_CD3 T cell_All,CD3 T cell,0.3938886728035076
196_CD3 T cell_All,CD3 T cell,0.42423204489016575
2_CD3 T cell_All,CD3 T cell,0.29522839120112154
200_CD3 T cell_All,CD3 T cell,0.5541990545014448
206_CD3 T cell_All,CD3 T cell,-1.1195713768261375
21_CD3 T cell_All,CD3 T cell,0.2832483522743394
211_CD3 T cell_All,CD3 T cell,0.5442487808922167
217_CD3 T cell_All,CD3 T cell,0.22269764832930816
222_CD3 T cell_All,CD3 T cell,0.42423204489016575
224_CD3 T cell_All,CD3 T cell,0.7520834759122295
227_CD3 T cell_All,CD3 T cell,-0.8430144075360337
23_CD3 T cell_All,CD3 T cell,0.5595956180024149
233_CD3 T cell_All,CD3 T cell,0.3976959045747117
242_CD3 T cell_All,CD3 T cell,0.3053865034945864
245_CD3 T cell_All,CD3 T cell,0.3349812828781493
252_CD3 T cell_All,CD3 T cell,0.12290394530086912
259_CD3 T cell_All,CD3 T cell,0.37358160965884846
261_CD3 T cell_All,CD3 T cell,0.2629859045399985
270_CD3 T cell_All,CD3 T cell,0.36945164443926304
28_CD3 T cell_All,CD3 T cell,
283_CD3 T cell_All,CD3 T cell,0.19419497581154221
284_CD3 T cell_All,CD3 T cell,-2.231391760534274
33_CD3 T cell_All,CD3 T cell,0.3576396715602632
43_CD3 T cell_All,CD3 T cell,0.3057071353770082
46_CD3 T cell_All,CD3 T cell,-0.3159609597738595
50_CD3 T cell_All,CD3 T cell,-0.9575141556364222
56_CD3 T cell_All,CD3 T cell,0.45370975523494295
58_CD3 T cell_All,CD3 T cell,0.22641852007398988
64_CD3 T cell_All,CD3 T cell,-0.44433260593777857
67_CD3 T cell_All,CD3 T cell,0.5436117355295829
70_CD3 T cell_All,CD3 T cell,0.4952363946386673
73_CD3 T cell_All,CD3 T cell,0.3920664109064793
75_CD3 T cell_All,CD3 T cell,-2.145476359417277
77_CD3 T cell_All,CD3 T cell,-2.0
82_CD3 T cell_All,CD3 T cell,0.2610709600601724
83_CD3 T cell_All,CD3 T cell,0.2913753965274797
90-13787-A_CD3 T cell_All,CD3 T cell,0.10414277461290311
90-21775-1C_CD3 T cell_All,CD3 T cell,0.06689777990474921
90-526-2M_CD3 T cell_All,CD3 T cell,0.12652383035372505
90-8392-1A_CD3 T cell_All,CD3 T cell,0.05642681689948503
91-19553-2A_CD3 T cell_All,CD3 T cell,0.06493891447475253
91-21790-2D_CD3 T cell_All,CD3 T cell,0.0834936000803479
91-4045-F_CD3 T cell_All,CD3 T cell,0.06787018316359505
92-10570-2E_CD3 T cell_All,CD3 T cell,0.06849299221927696
92-16604-B_CD3 T cell_All,CD3 T cell,0.07260524189684947
92-20731-A_CD3 T cell_All,CD3 T cell,0.07793377721834727
92-28299-1B_CD3 T cell_All,CD3 T cell,0.17180115873751056
93-15874-A_CD3 T cell_All,CD3 T cell,0.08689753596215555
93-21557-1A_CD3 T cell_All,CD3 T cell,0.08310563655282488
93-24333-1B_CD3 T cell_All,CD3 T cell,0.1053848177744241
93-9531-1A_CD3 T cell_All,CD3 T cell,0.25870812798159903
94-6524-1F_CD3 T cell_All,CD3 T cell,0.13447155846320102
94-7523-1B_CD3 T cell_All,CD3 T cell,0.06133908675023614
